"Reference","Qty","Value","Footprint","LCSC","MPN"
"A1","1","Arduino_Nano_v3.x","Module:Arduino_Nano","","102010019"
"C1","1","4700u/50V","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","C5115284",""
"C3,C4,C11","3","1u","Capacitor_SMD:C_0805_2012Metric","C28323",""
"C5,C10,C12","3","100n","Capacitor_SMD:C_0805_2012Metric","C126469 ",""
"C6","1","470u/50V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","C346975",""
"C7","1","1000u/25V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","C503217",""
"C9","1","100u/16V","Capacitor_SMD:CP_Elec_6.3x5.4","C346929",""
"CFF1","1","33n","Capacitor_SMD:C_0805_2012Metric","C1739",""
"D1","1","GBU1010","Diode_THT:Diode_Bridge_19.0x3.5x10.0mm_P5.0mm","","GBU1010"
"D3","1","SS34","Diode_SMD:D_SMA","C8678",""
"DS1","1","WC1602A","","","181"
"F1","1","Fuse","","","5HT 2-R"
"J1","1","IEC_60320_C14_Receptacle","","","723W-X2/03"
"J2,J5","2","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","","282837-2"
"J3,J4","2","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","","282837-3"
"J6","1","Connects to LCD","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","C7430372",""
"L3","1","100u","Inductor_SMD:L_0805_2012Metric","C88184",""
"R1,R6","2","10k","Resistor_SMD:R_0805_2012Metric","C17414",""
"R2","1","3.3k","Resistor_SMD:R_0805_2012Metric","C26010",""
"R3","1","0.1","Resistor_SMD:R_2512_6332Metric","C844904",""
"R4","1","100","Resistor_SMD:R_0805_2012Metric","C702827",""
"R5","1","47k","Resistor_SMD:R_0805_2012Metric","C29252",""
"T1","1","Transformer_1P_1S","","","VPS24-3300"
"U1","1","XL4016","Package_TO_SOT_SMD:XL4016","C55881",""
"U2","1","INA219AxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C138706",""
"U3","1","R-78C5.0-1.0","Converter_DCDC:R-78C&slash_E-1.0_SIP3_11.6X8.5X10.4_RCP","","R-78C5.0-1.0"
